sample_id,timestamp,free_lime_pct,c3s_pct,c2s_pct,blaine_fineness_cm2g,so3_pct,loss_on_ignition_pct
LAB-0001,2026-01-01 00:00:00,1.12,62.4,14.1,3520,2.6,1.8
LAB-0002,2026-01-01 01:00:00,1.05,63.1,13.7,3545,2.5,1.7
LAB-0003,2026-01-01 02:00:00,1.21,61.8,14.6,3490,2.7,1.9
LAB-0004,2026-01-01 03:00:00,0.98,63.9,13.2,3580,2.4,1.6
LAB-0005,2026-01-01 04:00:00,1.15,62.0,14.3,3510,2.6,1.85
LAB-0006,2026-01-01 05:00:00,1.30,61.2,15.0,3460,2.8,2.0
LAB-0007,2026-01-01 06:00:00,1.08,62.8,13.9,3535,2.55,1.75
LAB-0008,2026-01-01 07:00:00,0.95,64.2,12.9,3600,2.35,1.55
LAB-0009,2026-01-01 08:00:00,1.18,62.2,14.2,3505,2.62,1.82
LAB-0010,2026-01-01 09:00:00,1.02,63.4,13.5,3560,2.48,1.68
